Count,Mean
520,36.97115384615385
472,29.247881355932204
456,34.44078947368421
442,39.59502262443439
359,28.144846796657383
408,33.536764705882355
483,30.47826086956522
437,41.4233409610984
426,32.40845070422535
531,39.836158192090394
507,36.03944773175542
544,33.02389705882353
422,38.41232227488152
448,28.745535714285715
479,35.71189979123173
432,28.87037037037037
476,31.985294117647058
458,41.87117903930131
393,33.31043256997455
413,34.794188861985475
484,27.49173553719008
432,35.166666666666664
404,33.0470297029703
521,32.965451055662186
517,35.25338491295938
476,39.85294117647059
448,35.390625
503,29.916500994035786
473,31.572938689217757
444,32.722972972972975
503,41.40556660039761
558,35.367383512544805
424,44.3561320754717
447,42.261744966442954
431,35.243619489559165
408,41.404411764705884
392,36.625
581,29.61790017211704
491,27.93686354378819
463,28.408207343412528
452,33.89380530973451
457,28.844638949671772
449,37.055679287305125
524,38.471374045801525
450,29.54888888888889
417,33.74820143884892
431,30.17401392111369
387,34.97157622739018
622,32.07877813504823
510,32.4078431372549
464,33.98922413793103
405,31.881481481481483
436,40.137614678899084
422,37.72748815165877
459,35.7363834422658
544,31.012867647058822
526,29.745247148288975
484,34.38223140495868
471,36.70700636942675
486,40.48148148148148
483,38.00828157349896
507,29.90532544378698
412,27.070388349514563
555,36.677477477477474
562,32.74733096085409
467,30.82441113490364
456,41.48026315789474
536,32.458955223880594
601,35.963394342762065
425,36.5035294117647
562,49.68149466192171
478,35.25523012552301
448,29.196428571428573
567,35.99470899470899
551,43.64065335753176
517,44.74661508704062
489,37.02453987730061
410,32.114634146341466
557,33.29982046678636
488,40.10655737704918
498,31.164658634538153
517,34.64796905222437
500,34.776
539,44.77922077922078
453,35.09271523178808
470,36.65106382978723
410,21.973170731707317
442,32.744343891402714
423,22.26713947990544
425,34.85411764705882
396,27.449494949494948
526,42.06083650190114
402,27.59950248756219
406,29.65024630541872
415,44.29397590361446
495,36.35757575757576
425,37.830588235294115
578,32.667820069204154
536,28.638059701492537
540,34.78333333333333
427,28.182669789227166
488,45.49180327868852
452,34.46017699115044
404,33.83910891089109
459,43.989106753812635
516,30.71511627906977
426,32.683098591549296
488,24.278688524590162
517,41.06576402321083
489,29.955010224948875
438,31.43607305936073
526,47.21673003802282
496,35.03225806451613
501,30.65868263473054
506,29.83399209486166
608,37.15296052631579
480,34.766666666666666
400,28.6775
462,35.18614718614719
468,30.78205128205128
514,35.09727626459144
467,30.809421841541756
426,33.666666666666664
505,33.855445544554456
440,38.61818181818182
553,34.69077757685353
508,38.49409448818898
502,43.3804780876494
435,31.632183908045977
429,31.16083916083916
443,33.56207674943567
409,32.117359413202934
378,32.87830687830688
412,39.351941747572816
584,34.14212328767123
485,37.381443298969074
560,30.194642857142856
467,27.758029978586723
532,40.443609022556394
557,37.81149012567325
531,27.450094161958567
546,38.857142857142854
422,34.84123222748815
508,27.933070866141733
522,41.58045977011494
442,35.918552036199095
519,44.13102119460501
411,37.579075425790755
565,35.10973451327433
530,39.56037735849057
471,35.496815286624205
565,34.17168141592921
506,33.5098814229249
543,35.848987108655614
552,38.64673913043478
450,34.27111111111111
519,35.1252408477842
428,38.308411214953274
419,32.51073985680191
391,36.75447570332481
465,33.70752688172043
470,28.874468085106383
428,21.899532710280372
523,41.31739961759082
400,34.445
557,37.24955116696589
438,33.15525114155251
432,34.875
394,32.398477157360404
412,43.890776699029125
475,27.246315789473684
515,31.12621359223301
505,32.66732673267327
504,36.02579365079365
479,38.87891440501044
428,29.08177570093458
411,35.38929440389295
469,44.010660980810236
518,38.50772200772201
481,42.103950103950105
507,29.232741617357004
510,38.71176470588235
465,36.26451612903226
589,32.68251273344652
423,35.858156028368796
499,28.64328657314629
539,37.16141001855288
413,36.450363196125906
449,32.7728285077951
435,29.67816091954023
594,28.612794612794612
464,31.892241379310345
392,36.892857142857146
482,28.109958506224068
517,32.90715667311412
426,35.38732394366197
409,29.621026894865526
562,35.93238434163701
384,32.494791666666664
448,31.189732142857142
499,35.144288577154306
579,40.54749568221071
443,38.33634311512415
492,27.865853658536587
460,39.62391304347826
403,27.456575682382134
496,35.66935483870968
574,37.066202090592334
542,27.25092250922509
538,33.473977695167285
433,33.953810623556585
472,29.985169491525422
389,34.102827763496144
413,30.840193704600484
418,35.686602870813395
457,36.87308533916849
487,28.759753593429156
502,32.38247011952191
443,39.25507900677201
504,33.375
476,26.52310924369748
425,33.644705882352945
468,35.164529914529915
489,30.47443762781186
540,32.16481481481482
534,36.48501872659176
514,40.02723735408561
590,42.31864406779661
622,34.442122186495176
536,35.274253731343286
442,27.11085972850679
511,36.73581213307241
447,32.71364653243848
428,28.378504672897197
564,31.74645390070922
423,42.1063829787234
505,31.843564356435643
486,39.56378600823045
527,35.85768500948767
508,37.88385826771653
523,25.2848948374761
394,37.53299492385787
540,37.49074074074074
456,37.175438596491226
371,31.099730458221025
454,32.51101321585903
432,30.22685185185185
448,32.841517857142854
571,27.928196147110334
432,34.93981481481482
436,30.057339449541285
490,35.49387755102041
472,32.54025423728814
461,37.657266811279825
398,25.3643216080402
486,35.111111111111114
456,35.64254385964912
538,41.139405204460964
541,35.98336414048059
447,42.18791946308725
519,32.177263969171484
451,39.03769401330377
393,38.170483460559794
470,40.88297872340426
465,43.57634408602151
536,39.92910447761194
368,38.20108695652174
463,23.524838012958963
520,36.06346153846154
482,35.939834024896264
432,32.23148148148148
446,25.58744394618834
488,36.59836065573771
406,36.70935960591133
503,40.17495029821074
497,36.78269617706238
535,43.21308411214953
418,35.60287081339713
419,35.326968973747015
475,30.543157894736844
510,38.8
439,48.608200455580864
534,34.38951310861423
562,30.76690391459075
425,32.315294117647056
562,32.50177935943061
487,35.52361396303901
548,41.55474452554745
407,33.96314496314496
558,46.12007168458781
446,32.46188340807175
540,38.425925925925924
554,36.20397111913358
545,30.744954128440366
490,36.412244897959184
553,33.600361663652805
508,39.923228346456696
548,29.22992700729927
550,33.81090909090909
547,39.43144424131627
490,31.581632653061224
501,28.920159680638722
462,37.666666666666664
440,28.261363636363637
437,31.36384439359268
529,32.00567107750473
519,35.69556840077071
495,41.86464646464646
536,30.73320895522388
411,44.12895377128954
533,37.711069418386494
485,33.02474226804124
504,36.46626984126984
541,42.415896487985215
460,31.68913043478261
508,32.423228346456696
502,41.98207171314741
387,33.13178294573643
470,24.795744680851065
513,32.02729044834308
545,40.86788990825688
457,35.67833698030635
475,31.090526315789475
467,33.93147751605996
387,21.7312661498708
464,43.88793103448276
496,35.80443548387097
492,25.30081300813008
481,31.97920997920998
456,29.719298245614034
564,34.023049645390074
410,38.08048780487805
546,27.316849816849818
464,38.508620689655174
489,36.49284253578732
448,32.35267857142857
485,28.22680412371134
428,33.3107476635514
434,37.94239631336406
375,31.325333333333333
447,34.422818791946305
540,32.724074074074075
636,32.191823899371066
529,39.58412098298677
549,32.482695810564664
465,38.68387096774194
534,31.136704119850187
479,38.39457202505219
497,31.67404426559356
514,43.3579766536965
500,32.344
393,27.97201017811705
489,34.37832310838446
460,34.14782608695652
483,35.61490683229814
566,37.69081272084806
436,33.21559633027523
431,31.13921113689095
524,34.345419847328245
517,40.342359767891686
546,25.55860805860806
524,37.07442748091603
549,29.5591985428051
453,44.211920529801326
408,30.083333333333332
484,27.510330578512395
518,30.62934362934363
590,35.833898305084745
487,38.61396303901437
524,34.55534351145038
566,27.77208480565371
398,37.55527638190955
553,37.831826401446655
520,30.746153846153845
456,35.11842105263158
485,34.228865979381446
429,39.04195804195804
441,32.573696145124714
410,31.297560975609755
401,39.13466334164588
460,31.139130434782608
464,39.92456896551724
513,32.09551656920078
445,33.492134831460675
514,39.13813229571984
535,27.85607476635514
402,32.74875621890547
465,32.00215053763441
562,41.80960854092527
414,44.671497584541065
519,29.734104046242773
521,35.25143953934741
443,31.108352144469524
467,27.220556745182012
519,40.59344894026975
469,36.94456289978678
524,37.524809160305345
548,37.52919708029197
387,30.532299741602067
459,36.04357298474945
538,33.28624535315985
492,38.18292682926829
451,33.689578713968956
467,34.37473233404711
440,37.695454545454545
567,35.326278659611994
521,35.341650671785025
458,32.3296943231441
498,36.791164658634536
547,35.98537477148081
531,35.4180790960452
568,43.58978873239437
346,36.28901734104046
592,32.44763513513514
506,32.116600790513836
601,40.12645590682197
481,43.84407484407485
462,40.82683982683983
409,28.669926650366747
501,38.522954091816366
557,33.90305206463196
610,35.71475409836066
498,40.929718875502004
494,36.74696356275304
625,40.8752
435,29.788505747126436
416,28.504807692307693
420,38.40952380952381
493,34.537525354969574
514,41.93385214007782
516,37.10658914728682
407,24.948402948402947
509,40.278978388998034
486,39.82098765432099
447,35.060402684563755
500,42.078
549,37.11657559198543
456,43.155701754385966
517,32.39458413926499
486,42.0761316872428
409,34.76528117359413
474,40.177215189873415
453,42.971302428256074
454,35.0352422907489
359,31.13091922005571
516,33.15891472868217
528,34.87689393939394
571,39.67775831873905
416,35.36778846153846
546,45.76007326007326
487,30.882956878850102
522,37.480842911877396
546,34.324175824175825
469,32.35181236673774
483,32.88819875776397
554,37.671480144404335
368,28.758152173913043
436,44.0045871559633
406,30.54679802955665
470,33.1
509,36.13752455795678
491,31.894093686354378
439,26.71981776765376
526,43.56463878326996
439,40.888382687927106
420,26.135714285714286
518,37.34555984555985
579,28.806563039723663
439,26.378132118451024
503,30.848906560636184
523,40.61376673040153
543,30.646408839779006
419,35.307875894988065
445,35.06741573033708
426,36.27699530516432
601,35.356073211314474
566,37.38515901060071
409,32.41809290953545
382,39.30890052356021
430,30.032558139534885
570,38.46140350877193
477,35.668763102725364
479,28.599164926931106
453,36.16556291390729
439,45.49430523917995
566,38.245583038869256
402,30.83830845771144
452,31.530973451327434
502,34.14342629482072
464,34.66594827586207
504,31.408730158730158
501,28.073852295409182
411,28.017031630170315
443,35.762979683972915
488,39.11680327868852
507,30.7534516765286
402,29.554726368159205
400,32.2
433,34.1270207852194
502,30.739043824701195
